#{"t_start": 1600182218.320713, "env_id": null}
r,l,t
9.0,224,5220.647733
3.0,76,5225.0792
2.0,63,5228.753895
3.0,74,5233.077003
5.0,110,5239.469824
4.0,103,5245.471362
4.0,68,5249.422901
10.0,222,5262.376985
7.0,147,5270.919473
11.0,232,5284.445939
5.0,110,5290.802597
6.0,131,5298.437414
1.0,68,5302.406698
8.0,268,5317.990709
10.0,219,5330.758841
4.0,83,5335.867488
4.0,76,5340.288857
7.0,151,5349.137789
4.0,105,5355.241663
4.0,80,5359.897769
8.0,182,5370.495424
4.0,79,5375.098647
5.0,101,5380.999122
6.0,129,5388.546234
3.0,74,5392.839477
4.0,79,5397.440953
6.0,126,5404.782353
12.0,221,5417.630302
8.0,240,5431.614484
2.0,68,5435.563108
6.0,107,5441.803411
6.0,230,5455.176434
4.0,82,5459.960345
4.0,79,5464.565065
14.0,273,5480.452787
9.0,223,5493.439393
4.0,77,5498.149701
11.0,231,5511.246888
4.0,83,5516.089869
2.0,68,5520.029856
4.0,78,5524.582583
3.0,70,5528.673474
4.0,104,5534.73059
4.0,86,5539.742868
3.0,76,5544.179272
4.0,75,5548.543382
4.0,84,5553.450003
1.0,74,5557.768001
3.0,60,5561.248817
3.0,75,5565.606707
4.0,79,5570.2252
3.0,117,5577.034759
3.0,85,5581.948059
4.0,79,5586.570051
5.0,102,5592.496047
4.0,75,5596.864783
3.0,76,5601.292449
5.0,126,5608.642019
5.0,123,5615.81077
4.0,75,5620.170842
6.0,165,5629.776367
5.0,126,5637.125335
4.0,77,5641.570243
7.0,159,5650.84574
4.0,77,5655.321939
1.0,67,5659.230738
2.0,77,5663.684621
5.0,103,5669.669459
6.0,105,5675.802663
1.0,71,5679.954808
7.0,146,5688.476364
10.0,289,5707.058015
9.0,204,5719.464524
4.0,82,5724.521235
5.0,84,5729.597674
6.0,143,5738.275949
5.0,88,5743.692848
7.0,145,5752.603078
5.0,76,5757.281665
10.0,214,5770.232334
15.0,469,5798.057781
5.0,107,5804.630591
10.0,150,5813.467811
6.0,190,5824.677144
4.0,90,5830.036225
5.0,111,5836.555223
2.0,73,5840.839698
6.0,108,5847.227379
4.0,104,5853.362779
2.0,60,5856.917767
2.0,67,5860.869018
5.0,110,5867.34508
3.0,68,5871.346576
21.0,503,5900.951432
2.0,66,5904.832034
11.0,223,5917.912589
4.0,78,5922.529322
5.0,141,5930.801814
3.0,62,5934.444128
4.0,71,5938.630198
2.0,67,5942.580996
4.0,75,5947.024282
4.0,77,5951.554345
3.0,68,5955.562546
4.0,68,5959.551718
3.0,86,5964.591649
2.0,69,5968.654175
2.0,77,5973.190899
5.0,103,5979.285847
5.0,111,5985.797626
10.0,169,5995.735428
4.0,71,5999.89224
5.0,104,6006.038276
3.0,71,6010.20918
4.0,85,6015.208623
4.0,117,6022.121741
6.0,197,6033.676434
6.0,143,6046.23602
9.0,167,6056.047121
9.0,198,6067.668841
2.0,62,6071.27679
3.0,71,6075.413616
1.0,60,6078.934732
7.0,151,6087.775139
17.0,502,6117.218899
4.0,71,6121.368209
11.0,238,6135.367104
4.0,84,6140.3063
5.0,84,6145.214799
4.0,101,6151.101224
4.0,80,6155.785544
2.0,68,6159.801977
9.0,159,6169.108885
5.0,84,6174.015671
2.0,60,6177.520104
2.0,60,6181.032222
12.0,282,6197.541116
2.0,60,6201.055466
4.0,71,6205.199995
4.0,124,6212.471053
3.0,76,6216.920405
5.0,102,6222.898852
4.0,79,6227.530709
5.0,104,6233.683966
4.0,96,6239.275167
5.0,106,6245.483114
7.0,151,6254.32692
4.0,97,6259.988683
4.0,82,6264.788349
4.0,112,6271.330196
5.0,102,6277.372196
2.0,62,6280.97527
3.0,68,6284.976255
13.0,280,6301.371692
5.0,102,6307.377259
4.0,133,6315.205083
2.0,69,6319.260548
14.0,490,6347.993697
3.0,111,6354.464157
4.0,101,6360.397469
4.0,76,6364.84758
2.0,60,6368.379391
5.0,85,6373.363365
2.0,75,6377.763327
2.0,63,6381.432498
2.0,60,6384.930557
4.0,80,6389.626278
8.0,179,6400.185489
2.0,60,6403.729276
